,date,county,state,fips,cases,deaths
12147,2020-03-25,Hale,Texas,48189.0,1,0.0
13776,2020-03-26,Hale,Texas,48189.0,1,0.0
15530,2020-03-27,Hale,Texas,48189.0,1,0.0
17399,2020-03-28,Hale,Texas,48189.0,1,0.0
19352,2020-03-29,Hale,Texas,48189.0,1,0.0
19681,2020-03-30,Hale,Alabama,1065.0,1,0.0
21411,2020-03-30,Hale,Texas,48189.0,1,0.0
21753,2020-03-31,Hale,Alabama,1065.0,1,0.0
23550,2020-03-31,Hale,Texas,48189.0,1,0.0
23909,2020-04-01,Hale,Alabama,1065.0,1,0.0
25760,2020-04-01,Hale,Texas,48189.0,1,0.0
26131,2020-04-02,Hale,Alabama,1065.0,1,0.0
28043,2020-04-02,Hale,Texas,48189.0,1,0.0
28427,2020-04-03,Hale,Alabama,1065.0,3,0.0
30378,2020-04-03,Hale,Texas,48189.0,6,0.0
30784,2020-04-04,Hale,Alabama,1065.0,3,0.0
32771,2020-04-04,Hale,Texas,48189.0,7,0.0
33188,2020-04-05,Hale,Alabama,1065.0,3,0.0
35209,2020-04-05,Hale,Texas,48189.0,7,0.0
35627,2020-04-06,Hale,Alabama,1065.0,5,0.0
37685,2020-04-06,Hale,Texas,48189.0,7,0.0
38115,2020-04-07,Hale,Alabama,1065.0,7,0.0
40210,2020-04-07,Hale,Texas,48189.0,7,0.0
40657,2020-04-08,Hale,Alabama,1065.0,7,0.0
42777,2020-04-08,Hale,Texas,48189.0,7,0.0
43230,2020-04-09,Hale,Alabama,1065.0,7,0.0
45366,2020-04-09,Hale,Texas,48189.0,9,1.0
45828,2020-04-10,Hale,Alabama,1065.0,7,0.0
47986,2020-04-10,Hale,Texas,48189.0,9,1.0
48457,2020-04-11,Hale,Alabama,1065.0,11,0.0
50644,2020-04-11,Hale,Texas,48189.0,11,2.0
51119,2020-04-12,Hale,Alabama,1065.0,15,0.0
53319,2020-04-12,Hale,Texas,48189.0,11,2.0
53797,2020-04-13,Hale,Alabama,1065.0,15,0.0
56007,2020-04-13,Hale,Texas,48189.0,11,2.0
56489,2020-04-14,Hale,Alabama,1065.0,17,0.0
58712,2020-04-14,Hale,Texas,48189.0,11,2.0
59197,2020-04-15,Hale,Alabama,1065.0,20,0.0
61430,2020-04-15,Hale,Texas,48189.0,11,2.0
61915,2020-04-16,Hale,Alabama,1065.0,22,0.0
64157,2020-04-16,Hale,Texas,48189.0,11,2.0
64648,2020-04-17,Hale,Alabama,1065.0,22,0.0
66904,2020-04-17,Hale,Texas,48189.0,11,2.0
67396,2020-04-18,Hale,Alabama,1065.0,23,1.0
69664,2020-04-18,Hale,Texas,48189.0,11,2.0
70158,2020-04-19,Hale,Alabama,1065.0,26,1.0
72432,2020-04-19,Hale,Texas,48189.0,12,2.0
72927,2020-04-20,Hale,Alabama,1065.0,31,1.0
75207,2020-04-20,Hale,Texas,48189.0,12,2.0
75703,2020-04-21,Hale,Alabama,1065.0,34,1.0
77989,2020-04-21,Hale,Texas,48189.0,15,2.0
78486,2020-04-22,Hale,Alabama,1065.0,36,1.0
80780,2020-04-22,Hale,Texas,48189.0,16,4.0
81279,2020-04-23,Hale,Alabama,1065.0,37,0.0
83580,2020-04-23,Hale,Texas,48189.0,16,4.0
84080,2020-04-24,Hale,Alabama,1065.0,39,2.0
86385,2020-04-24,Hale,Texas,48189.0,19,4.0
86888,2020-04-25,Hale,Alabama,1065.0,40,2.0
89200,2020-04-25,Hale,Texas,48189.0,19,4.0
89704,2020-04-26,Hale,Alabama,1065.0,41,2.0
92017,2020-04-26,Hale,Texas,48189.0,19,4.0
92522,2020-04-27,Hale,Alabama,1065.0,41,2.0
94846,2020-04-27,Hale,Texas,48189.0,19,4.0
95352,2020-04-28,Hale,Alabama,1065.0,41,2.0
97686,2020-04-28,Hale,Texas,48189.0,24,4.0
98197,2020-04-29,Hale,Alabama,1065.0,43,2.0
100536,2020-04-29,Hale,Texas,48189.0,24,4.0
101047,2020-04-30,Hale,Alabama,1065.0,47,2.0
103391,2020-04-30,Hale,Texas,48189.0,25,4.0
103902,2020-05-01,Hale,Alabama,1065.0,50,2.0
106255,2020-05-01,Hale,Texas,48189.0,25,4.0
106767,2020-05-02,Hale,Alabama,1065.0,52,2.0
109124,2020-05-02,Hale,Texas,48189.0,26,4.0
109636,2020-05-03,Hale,Alabama,1065.0,52,2.0
111998,2020-05-03,Hale,Texas,48189.0,29,4.0
112511,2020-05-04,Hale,Alabama,1065.0,56,2.0
114880,2020-05-04,Hale,Texas,48189.0,29,4.0
115394,2020-05-05,Hale,Alabama,1065.0,59,2.0
117839,2020-05-05,Hale,Texas,48189.0,29,4.0
118353,2020-05-06,Hale,Alabama,1065.0,60,2.0
120803,2020-05-06,Hale,Texas,48189.0,31,4.0
121319,2020-05-07,Hale,Alabama,1065.0,62,2.0
123782,2020-05-07,Hale,Texas,48189.0,37,4.0
124299,2020-05-08,Hale,Alabama,1065.0,62,2.0
126765,2020-05-08,Hale,Texas,48189.0,37,4.0
127284,2020-05-09,Hale,Alabama,1065.0,66,2.0
129754,2020-05-09,Hale,Texas,48189.0,37,4.0
130274,2020-05-10,Hale,Alabama,1065.0,69,2.0
132744,2020-05-10,Hale,Texas,48189.0,37,4.0
133264,2020-05-11,Hale,Alabama,1065.0,72,2.0
135735,2020-05-11,Hale,Texas,48189.0,37,4.0
136254,2020-05-12,Hale,Alabama,1065.0,74,2.0
138725,2020-05-12,Hale,Texas,48189.0,39,4.0
139245,2020-05-13,Hale,Alabama,1065.0,74,2.0
141721,2020-05-13,Hale,Texas,48189.0,40,4.0
142241,2020-05-14,Hale,Alabama,1065.0,79,2.0
144718,2020-05-14,Hale,Texas,48189.0,41,4.0
145240,2020-05-15,Hale,Alabama,1065.0,79,2.0
147721,2020-05-15,Hale,Texas,48189.0,42,4.0
148243,2020-05-16,Hale,Alabama,1065.0,84,2.0
150729,2020-05-16,Hale,Texas,48189.0,43,4.0
151252,2020-05-17,Hale,Alabama,1065.0,85,2.0
153740,2020-05-17,Hale,Texas,48189.0,44,4.0
154264,2020-05-18,Hale,Alabama,1065.0,91,2.0
156757,2020-05-18,Hale,Texas,48189.0,44,4.0
157280,2020-05-19,Hale,Alabama,1065.0,96,2.0
159779,2020-05-19,Hale,Texas,48189.0,49,4.0
160304,2020-05-20,Hale,Alabama,1065.0,106,2.0
162806,2020-05-20,Hale,Texas,48189.0,49,4.0
163332,2020-05-21,Hale,Alabama,1065.0,110,3.0
165835,2020-05-21,Hale,Texas,48189.0,50,4.0
166364,2020-05-22,Hale,Alabama,1065.0,119,3.0
168871,2020-05-22,Hale,Texas,48189.0,50,4.0
169400,2020-05-23,Hale,Alabama,1065.0,124,3.0
171910,2020-05-23,Hale,Texas,48189.0,54,4.0
172441,2020-05-24,Hale,Alabama,1065.0,129,3.0
174953,2020-05-24,Hale,Texas,48189.0,55,4.0
175484,2020-05-25,Hale,Alabama,1065.0,132,4.0
177997,2020-05-25,Hale,Texas,48189.0,55,4.0
178529,2020-05-26,Hale,Alabama,1065.0,135,4.0
181040,2020-05-26,Hale,Texas,48189.0,55,4.0
181573,2020-05-27,Hale,Alabama,1065.0,141,6.0
184090,2020-05-27,Hale,Texas,48189.0,56,4.0
184625,2020-05-28,Hale,Alabama,1065.0,151,7.0
187147,2020-05-28,Hale,Texas,48189.0,56,4.0
187682,2020-05-29,Hale,Alabama,1065.0,157,8.0
190211,2020-05-29,Hale,Texas,48189.0,57,4.0
190746,2020-05-30,Hale,Alabama,1065.0,159,8.0
193276,2020-05-30,Hale,Texas,48189.0,57,4.0
193812,2020-05-31,Hale,Alabama,1065.0,173,9.0
196346,2020-05-31,Hale,Texas,48189.0,58,4.0
196882,2020-06-01,Hale,Alabama,1065.0,179,9.0
199419,2020-06-01,Hale,Texas,48189.0,58,4.0
199955,2020-06-02,Hale,Alabama,1065.0,182,9.0
202494,2020-06-02,Hale,Texas,48189.0,58,4.0
203031,2020-06-03,Hale,Alabama,1065.0,183,9.0
205573,2020-06-03,Hale,Texas,48189.0,60,4.0
206110,2020-06-04,Hale,Alabama,1065.0,189,9.0
208655,2020-06-04,Hale,Texas,48189.0,60,4.0
209192,2020-06-05,Hale,Alabama,1065.0,196,10.0
211739,2020-06-05,Hale,Texas,48189.0,60,4.0
212277,2020-06-06,Hale,Alabama,1065.0,199,11.0
214826,2020-06-06,Hale,Texas,48189.0,60,4.0
215364,2020-06-07,Hale,Alabama,1065.0,206,11.0
217916,2020-06-07,Hale,Texas,48189.0,60,4.0
218454,2020-06-08,Hale,Alabama,1065.0,211,11.0
221008,2020-06-08,Hale,Texas,48189.0,61,4.0
221546,2020-06-09,Hale,Alabama,1065.0,214,11.0
224103,2020-06-09,Hale,Texas,48189.0,61,4.0
224642,2020-06-10,Hale,Alabama,1065.0,215,11.0
227203,2020-06-10,Hale,Texas,48189.0,67,5.0
227743,2020-06-11,Hale,Alabama,1065.0,224,11.0
230307,2020-06-11,Hale,Texas,48189.0,67,5.0
230847,2020-06-12,Hale,Alabama,1065.0,228,14.0
233411,2020-06-12,Hale,Texas,48189.0,76,5.0
233952,2020-06-13,Hale,Alabama,1065.0,231,14.0
236517,2020-06-13,Hale,Texas,48189.0,76,5.0
237059,2020-06-14,Hale,Alabama,1065.0,237,14.0
239625,2020-06-14,Hale,Texas,48189.0,85,5.0
240167,2020-06-15,Hale,Alabama,1065.0,240,15.0
242735,2020-06-15,Hale,Texas,48189.0,85,5.0
243278,2020-06-16,Hale,Alabama,1065.0,241,15.0
245847,2020-06-16,Hale,Texas,48189.0,100,5.0
246391,2020-06-17,Hale,Alabama,1065.0,242,15.0
248960,2020-06-17,Hale,Texas,48189.0,110,5.0
249503,2020-06-18,Hale,Alabama,1065.0,253,15.0
252075,2020-06-18,Hale,Texas,48189.0,110,5.0
252618,2020-06-19,Hale,Alabama,1065.0,261,16.0
255190,2020-06-19,Hale,Texas,48189.0,122,5.0
255737,2020-06-20,Hale,Alabama,1065.0,262,18.0
258317,2020-06-20,Hale,Texas,48189.0,135,5.0
258864,2020-06-21,Hale,Alabama,1065.0,263,18.0
261444,2020-06-21,Hale,Texas,48189.0,139,5.0
261991,2020-06-22,Hale,Alabama,1065.0,267,18.0
264572,2020-06-22,Hale,Texas,48189.0,139,5.0
265120,2020-06-23,Hale,Alabama,1065.0,269,18.0
267700,2020-06-23,Hale,Texas,48189.0,176,6.0
268249,2020-06-24,Hale,Alabama,1065.0,269,19.0
270834,2020-06-24,Hale,Texas,48189.0,178,6.0
271383,2020-06-25,Hale,Alabama,1065.0,272,19.0
273974,2020-06-25,Hale,Texas,48189.0,214,7.0
274523,2020-06-26,Hale,Alabama,1065.0,275,19.0
277121,2020-06-26,Hale,Texas,48189.0,235,7.0
277671,2020-06-27,Hale,Alabama,1065.0,278,20.0
280269,2020-06-27,Hale,Texas,48189.0,235,7.0
280819,2020-06-28,Hale,Alabama,1065.0,280,20.0
283415,2020-06-28,Hale,Texas,48189.0,235,7.0
283965,2020-06-29,Hale,Alabama,1065.0,286,20.0
286561,2020-06-29,Hale,Texas,48189.0,235,7.0
287111,2020-06-30,Hale,Alabama,1065.0,290,20.0
289711,2020-06-30,Hale,Texas,48189.0,285,7.0
290261,2020-07-01,Hale,Alabama,1065.0,298,21.0
292864,2020-07-01,Hale,Texas,48189.0,300,7.0
293414,2020-07-02,Hale,Alabama,1065.0,301,21.0
296019,2020-07-02,Hale,Texas,48189.0,369,7.0
296569,2020-07-03,Hale,Alabama,1065.0,311,21.0
299179,2020-07-03,Hale,Texas,48189.0,427,7.0
299731,2020-07-04,Hale,Alabama,1065.0,315,21.0
302343,2020-07-04,Hale,Texas,48189.0,500,7.0
302895,2020-07-05,Hale,Alabama,1065.0,316,21.0
305507,2020-07-05,Hale,Texas,48189.0,500,7.0
306059,2020-07-06,Hale,Alabama,1065.0,319,21.0
308675,2020-07-06,Hale,Texas,48189.0,500,7.0
309228,2020-07-07,Hale,Alabama,1065.0,320,21.0
311844,2020-07-07,Hale,Texas,48189.0,592,7.0
312397,2020-07-08,Hale,Alabama,1065.0,322,22.0
315018,2020-07-08,Hale,Texas,48189.0,592,7.0
315572,2020-07-09,Hale,Alabama,1065.0,342,22.0
318191,2020-07-09,Hale,Texas,48189.0,661,8.0
