,date,county,state,fips,cases,deaths
22144,2020-03-31,Stewart,Georgia,13259.0,1,0.0
24309,2020-04-01,Stewart,Georgia,13259.0,1,0.0
26540,2020-04-02,Stewart,Georgia,13259.0,1,0.0
28846,2020-04-03,Stewart,Georgia,13259.0,1,0.0
31206,2020-04-04,Stewart,Georgia,13259.0,1,0.0
32700,2020-04-04,Stewart,Tennessee,47161.0,1,0.0
33613,2020-04-05,Stewart,Georgia,13259.0,1,0.0
35137,2020-04-05,Stewart,Tennessee,47161.0,2,0.0
36063,2020-04-06,Stewart,Georgia,13259.0,3,0.0
37613,2020-04-06,Stewart,Tennessee,47161.0,2,0.0
38556,2020-04-07,Stewart,Georgia,13259.0,4,0.0
40136,2020-04-07,Stewart,Tennessee,47161.0,2,0.0
41100,2020-04-08,Stewart,Georgia,13259.0,4,0.0
42698,2020-04-08,Stewart,Tennessee,47161.0,2,0.0
43674,2020-04-09,Stewart,Georgia,13259.0,4,0.0
45285,2020-04-09,Stewart,Tennessee,47161.0,2,0.0
46276,2020-04-10,Stewart,Georgia,13259.0,6,0.0
47903,2020-04-10,Stewart,Tennessee,47161.0,3,0.0
48907,2020-04-11,Stewart,Georgia,13259.0,6,0.0
50561,2020-04-11,Stewart,Tennessee,47161.0,4,0.0
51569,2020-04-12,Stewart,Georgia,13259.0,7,0.0
53236,2020-04-12,Stewart,Tennessee,47161.0,4,0.0
54249,2020-04-13,Stewart,Georgia,13259.0,8,0.0
55923,2020-04-13,Stewart,Tennessee,47161.0,4,0.0
56941,2020-04-14,Stewart,Georgia,13259.0,8,0.0
58626,2020-04-14,Stewart,Tennessee,47161.0,4,0.0
59648,2020-04-15,Stewart,Georgia,13259.0,9,0.0
61342,2020-04-15,Stewart,Tennessee,47161.0,4,0.0
62368,2020-04-16,Stewart,Georgia,13259.0,12,0.0
64069,2020-04-16,Stewart,Tennessee,47161.0,4,0.0
65101,2020-04-17,Stewart,Georgia,13259.0,15,0.0
66816,2020-04-17,Stewart,Tennessee,47161.0,5,0.0
67849,2020-04-18,Stewart,Georgia,13259.0,15,0.0
69575,2020-04-18,Stewart,Tennessee,47161.0,5,0.0
70611,2020-04-19,Stewart,Georgia,13259.0,15,0.0
72342,2020-04-19,Stewart,Tennessee,47161.0,6,0.0
73380,2020-04-20,Stewart,Georgia,13259.0,17,0.0
75117,2020-04-20,Stewart,Tennessee,47161.0,6,0.0
76156,2020-04-21,Stewart,Georgia,13259.0,17,0.0
77899,2020-04-21,Stewart,Tennessee,47161.0,6,0.0
78940,2020-04-22,Stewart,Georgia,13259.0,18,0.0
80689,2020-04-22,Stewart,Tennessee,47161.0,6,0.0
81733,2020-04-23,Stewart,Georgia,13259.0,17,0.0
83488,2020-04-23,Stewart,Tennessee,47161.0,7,0.0
84533,2020-04-24,Stewart,Georgia,13259.0,17,0.0
86293,2020-04-24,Stewart,Tennessee,47161.0,6,0.0
87342,2020-04-25,Stewart,Georgia,13259.0,17,0.0
89108,2020-04-25,Stewart,Tennessee,47161.0,6,0.0
90158,2020-04-26,Stewart,Georgia,13259.0,17,0.0
91925,2020-04-26,Stewart,Tennessee,47161.0,7,0.0
92977,2020-04-27,Stewart,Georgia,13259.0,18,0.0
94753,2020-04-27,Stewart,Tennessee,47161.0,7,0.0
95809,2020-04-28,Stewart,Georgia,13259.0,21,0.0
97593,2020-04-28,Stewart,Tennessee,47161.0,7,0.0
98654,2020-04-29,Stewart,Georgia,13259.0,23,0.0
100443,2020-04-29,Stewart,Tennessee,47161.0,7,0.0
101504,2020-04-30,Stewart,Georgia,13259.0,24,0.0
103296,2020-04-30,Stewart,Tennessee,47161.0,7,0.0
104359,2020-05-01,Stewart,Georgia,13259.0,25,0.0
106159,2020-05-01,Stewart,Tennessee,47161.0,7,0.0
107224,2020-05-02,Stewart,Georgia,13259.0,25,0.0
109026,2020-05-02,Stewart,Tennessee,47161.0,7,0.0
110093,2020-05-03,Stewart,Georgia,13259.0,25,0.0
111900,2020-05-03,Stewart,Tennessee,47161.0,7,0.0
112968,2020-05-04,Stewart,Georgia,13259.0,25,0.0
114782,2020-05-04,Stewart,Tennessee,47161.0,8,0.0
115851,2020-05-05,Stewart,Georgia,13259.0,25,0.0
117738,2020-05-05,Stewart,Tennessee,47161.0,7,0.0
118811,2020-05-06,Stewart,Georgia,13259.0,26,0.0
120702,2020-05-06,Stewart,Tennessee,47161.0,7,0.0
121781,2020-05-07,Stewart,Georgia,13259.0,27,0.0
123680,2020-05-07,Stewart,Tennessee,47161.0,7,0.0
124760,2020-05-08,Stewart,Georgia,13259.0,30,0.0
126663,2020-05-08,Stewart,Tennessee,47161.0,7,0.0
127747,2020-05-09,Stewart,Georgia,13259.0,31,0.0
129652,2020-05-09,Stewart,Tennessee,47161.0,7,0.0
130738,2020-05-10,Stewart,Georgia,13259.0,31,0.0
132642,2020-05-10,Stewart,Tennessee,47161.0,7,0.0
133729,2020-05-11,Stewart,Georgia,13259.0,34,0.0
135633,2020-05-11,Stewart,Tennessee,47161.0,7,0.0
136718,2020-05-12,Stewart,Georgia,13259.0,35,0.0
138623,2020-05-12,Stewart,Tennessee,47161.0,7,0.0
139709,2020-05-13,Stewart,Georgia,13259.0,35,0.0
141619,2020-05-13,Stewart,Tennessee,47161.0,7,0.0
142705,2020-05-14,Stewart,Georgia,13259.0,37,0.0
144616,2020-05-14,Stewart,Tennessee,47161.0,7,0.0
145705,2020-05-15,Stewart,Georgia,13259.0,37,0.0
147617,2020-05-15,Stewart,Tennessee,47161.0,7,0.0
148708,2020-05-16,Stewart,Georgia,13259.0,37,0.0
150625,2020-05-16,Stewart,Tennessee,47161.0,7,0.0
151717,2020-05-17,Stewart,Georgia,13259.0,37,0.0
153636,2020-05-17,Stewart,Tennessee,47161.0,7,0.0
154729,2020-05-18,Stewart,Georgia,13259.0,39,0.0
156653,2020-05-18,Stewart,Tennessee,47161.0,7,0.0
157745,2020-05-19,Stewart,Georgia,13259.0,40,0.0
159675,2020-05-19,Stewart,Tennessee,47161.0,8,0.0
160771,2020-05-20,Stewart,Georgia,13259.0,40,0.0
162702,2020-05-20,Stewart,Tennessee,47161.0,8,0.0
163799,2020-05-21,Stewart,Georgia,13259.0,40,0.0
165731,2020-05-21,Stewart,Tennessee,47161.0,8,0.0
166832,2020-05-22,Stewart,Georgia,13259.0,40,0.0
168767,2020-05-22,Stewart,Tennessee,47161.0,8,0.0
169869,2020-05-23,Stewart,Georgia,13259.0,42,0.0
171806,2020-05-23,Stewart,Tennessee,47161.0,8,0.0
172910,2020-05-24,Stewart,Georgia,13259.0,42,0.0
174849,2020-05-24,Stewart,Tennessee,47161.0,9,0.0
175953,2020-05-25,Stewart,Georgia,13259.0,44,0.0
177893,2020-05-25,Stewart,Tennessee,47161.0,9,0.0
178997,2020-05-26,Stewart,Georgia,13259.0,46,0.0
180936,2020-05-26,Stewart,Tennessee,47161.0,9,0.0
182041,2020-05-27,Stewart,Georgia,13259.0,47,0.0
183986,2020-05-27,Stewart,Tennessee,47161.0,10,0.0
185095,2020-05-28,Stewart,Georgia,13259.0,51,1.0
187043,2020-05-28,Stewart,Tennessee,47161.0,11,0.0
188151,2020-05-29,Stewart,Georgia,13259.0,52,1.0
190107,2020-05-29,Stewart,Tennessee,47161.0,11,0.0
191216,2020-05-30,Stewart,Georgia,13259.0,52,1.0
193172,2020-05-30,Stewart,Tennessee,47161.0,11,0.0
194283,2020-05-31,Stewart,Georgia,13259.0,52,1.0
196242,2020-05-31,Stewart,Tennessee,47161.0,11,0.0
197353,2020-06-01,Stewart,Georgia,13259.0,52,1.0
199315,2020-06-01,Stewart,Tennessee,47161.0,11,0.0
200426,2020-06-02,Stewart,Georgia,13259.0,52,1.0
202390,2020-06-02,Stewart,Tennessee,47161.0,13,0.0
203502,2020-06-03,Stewart,Georgia,13259.0,53,1.0
205469,2020-06-03,Stewart,Tennessee,47161.0,13,0.0
206582,2020-06-04,Stewart,Georgia,13259.0,54,1.0
208551,2020-06-04,Stewart,Tennessee,47161.0,13,0.0
209663,2020-06-05,Stewart,Georgia,13259.0,55,1.0
211633,2020-06-05,Stewart,Tennessee,47161.0,14,0.0
212748,2020-06-06,Stewart,Georgia,13259.0,56,1.0
214720,2020-06-06,Stewart,Tennessee,47161.0,15,0.0
215835,2020-06-07,Stewart,Georgia,13259.0,57,1.0
217810,2020-06-07,Stewart,Tennessee,47161.0,15,0.0
218926,2020-06-08,Stewart,Georgia,13259.0,57,1.0
220902,2020-06-08,Stewart,Tennessee,47161.0,15,0.0
222021,2020-06-09,Stewart,Georgia,13259.0,58,1.0
223997,2020-06-09,Stewart,Tennessee,47161.0,14,0.0
225116,2020-06-10,Stewart,Georgia,13259.0,59,1.0
227097,2020-06-10,Stewart,Tennessee,47161.0,14,0.0
228218,2020-06-11,Stewart,Georgia,13259.0,60,1.0
230201,2020-06-11,Stewart,Tennessee,47161.0,14,0.0
231321,2020-06-12,Stewart,Georgia,13259.0,60,1.0
233306,2020-06-12,Stewart,Tennessee,47161.0,14,0.0
234427,2020-06-13,Stewart,Georgia,13259.0,62,1.0
236412,2020-06-13,Stewart,Tennessee,47161.0,14,0.0
237534,2020-06-14,Stewart,Georgia,13259.0,62,1.0
239520,2020-06-14,Stewart,Tennessee,47161.0,16,0.0
240642,2020-06-15,Stewart,Georgia,13259.0,63,1.0
242630,2020-06-15,Stewart,Tennessee,47161.0,16,0.0
243753,2020-06-16,Stewart,Georgia,13259.0,68,1.0
245742,2020-06-16,Stewart,Tennessee,47161.0,16,0.0
246866,2020-06-17,Stewart,Georgia,13259.0,70,1.0
248855,2020-06-17,Stewart,Tennessee,47161.0,16,0.0
249978,2020-06-18,Stewart,Georgia,13259.0,71,1.0
251970,2020-06-18,Stewart,Tennessee,47161.0,17,0.0
253093,2020-06-19,Stewart,Georgia,13259.0,82,1.0
255085,2020-06-19,Stewart,Tennessee,47161.0,17,0.0
256212,2020-06-20,Stewart,Georgia,13259.0,82,1.0
258211,2020-06-20,Stewart,Tennessee,47161.0,17,0.0
259339,2020-06-21,Stewart,Georgia,13259.0,82,1.0
261338,2020-06-21,Stewart,Tennessee,47161.0,17,0.0
262466,2020-06-22,Stewart,Georgia,13259.0,84,1.0
264466,2020-06-22,Stewart,Tennessee,47161.0,17,0.0
265594,2020-06-23,Stewart,Georgia,13259.0,92,3.0
267594,2020-06-23,Stewart,Tennessee,47161.0,19,0.0
268724,2020-06-24,Stewart,Georgia,13259.0,91,3.0
270728,2020-06-24,Stewart,Tennessee,47161.0,19,0.0
271860,2020-06-25,Stewart,Georgia,13259.0,106,3.0
273867,2020-06-25,Stewart,Tennessee,47161.0,19,0.0
275000,2020-06-26,Stewart,Georgia,13259.0,110,3.0
277014,2020-06-26,Stewart,Tennessee,47161.0,19,0.0
278148,2020-06-27,Stewart,Georgia,13259.0,111,3.0
280162,2020-06-27,Stewart,Tennessee,47161.0,19,0.0
281295,2020-06-28,Stewart,Georgia,13259.0,112,3.0
283308,2020-06-28,Stewart,Tennessee,47161.0,19,0.0
284441,2020-06-29,Stewart,Georgia,13259.0,113,3.0
286453,2020-06-29,Stewart,Tennessee,47161.0,20,0.0
287587,2020-06-30,Stewart,Georgia,13259.0,119,3.0
289604,2020-06-30,Stewart,Tennessee,47161.0,21,0.0
290738,2020-07-01,Stewart,Georgia,13259.0,129,3.0
292756,2020-07-01,Stewart,Tennessee,47161.0,21,0.0
293892,2020-07-02,Stewart,Georgia,13259.0,135,3.0
295912,2020-07-02,Stewart,Tennessee,47161.0,21,0.0
297048,2020-07-03,Stewart,Georgia,13259.0,177,3.0
299072,2020-07-03,Stewart,Tennessee,47161.0,23,0.0
300210,2020-07-04,Stewart,Georgia,13259.0,183,3.0
302236,2020-07-04,Stewart,Tennessee,47161.0,23,0.0
303374,2020-07-05,Stewart,Georgia,13259.0,184,3.0
305399,2020-07-05,Stewart,Tennessee,47161.0,23,0.0
306538,2020-07-06,Stewart,Georgia,13259.0,184,3.0
308567,2020-07-06,Stewart,Tennessee,47161.0,23,0.0
309706,2020-07-07,Stewart,Georgia,13259.0,204,3.0
311736,2020-07-07,Stewart,Tennessee,47161.0,24,0.0
312876,2020-07-08,Stewart,Georgia,13259.0,206,3.0
314910,2020-07-08,Stewart,Tennessee,47161.0,25,0.0
316051,2020-07-09,Stewart,Georgia,13259.0,207,3.0
318083,2020-07-09,Stewart,Tennessee,47161.0,26,0.0
319224,2020-07-10,Stewart,Georgia,13259.0,211,3.0
321261,2020-07-10,Stewart,Tennessee,47161.0,27,0.0
322403,2020-07-11,Stewart,Georgia,13259.0,212,3.0
324442,2020-07-11,Stewart,Tennessee,47161.0,26,0.0
325584,2020-07-12,Stewart,Georgia,13259.0,215,3.0
327627,2020-07-12,Stewart,Tennessee,47161.0,26,0.0
328770,2020-07-13,Stewart,Georgia,13259.0,219,3.0
330813,2020-07-13,Stewart,Tennessee,47161.0,27,0.0
331957,2020-07-14,Stewart,Georgia,13259.0,225,3.0
334005,2020-07-14,Stewart,Tennessee,47161.0,32,0.0
335150,2020-07-15,Stewart,Georgia,13259.0,233,4.0
337199,2020-07-15,Stewart,Tennessee,47161.0,34,0.0
338345,2020-07-16,Stewart,Georgia,13259.0,231,4.0
340396,2020-07-16,Stewart,Tennessee,47161.0,35,0.0
341542,2020-07-17,Stewart,Georgia,13259.0,231,4.0
343594,2020-07-17,Stewart,Tennessee,47161.0,36,0.0
344741,2020-07-18,Stewart,Georgia,13259.0,231,4.0
346794,2020-07-18,Stewart,Tennessee,47161.0,37,0.0
347941,2020-07-19,Stewart,Georgia,13259.0,233,4.0
349994,2020-07-19,Stewart,Tennessee,47161.0,44,0.0
351142,2020-07-20,Stewart,Georgia,13259.0,233,4.0
353197,2020-07-20,Stewart,Tennessee,47161.0,47,0.0
354344,2020-07-21,Stewart,Georgia,13259.0,234,4.0
356400,2020-07-21,Stewart,Tennessee,47161.0,47,0.0
357547,2020-07-22,Stewart,Georgia,13259.0,235,4.0
359604,2020-07-22,Stewart,Tennessee,47161.0,48,0.0
360752,2020-07-23,Stewart,Georgia,13259.0,235,4.0
362811,2020-07-23,Stewart,Tennessee,47161.0,50,0.0
363959,2020-07-24,Stewart,Georgia,13259.0,235,4.0
